DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
09/02/2016,6:09,BROOKLYN,11226,40.6505297,-73.9558249,"(40.6505297, -73.9558249)",CHURCH AVENUE,BEDFORD AVENUE,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,3517723,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/02/2016,7:09,BROOKLYN,11208,,,,PITKIN AVENUE,ELDERTS LANE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3513558,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/02/2016,7:09,MANHATTAN,10013,,,,CANAL STREET,WOOSTER STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3511705,OTHER,,,,
09/02/2016,7:09,MANHATTAN,10032,,,,BROADWAY,WEST 155 STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3533648,PASSENGER VEHICLE,,,,
09/02/2016,7:09,,,,,,STOCKHOLM STREET,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512145,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/02/2016,7:09,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3513305,PASSENGER VEHICLE,,,,
09/02/2016,7:09,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3513306,PASSENGER VEHICLE,,,,
09/02/2016,7:09,,,40.8874214,-73.8944876,"(40.8874214, -73.8944876)",,,,3,0,0,0,0,0,6,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3513429,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
09/02/2016,8:09,BRONX,10469,,,,,,3523      TIEMANN AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3511875,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
09/02/2016,8:09,BROOKLYN,11219,,,,12 AVENUE,51 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3516041,VAN,PASSENGER VEHICLE,,,
